Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1961-09-13,Take Good Care Of My Baby,Bobby Vee,1,2,1,7,https://charts-static.billboard.com/img/1961/08/bobby-vee-swb-180x180.jpg
1961-09-20,Take Good Care Of My Baby,Bobby Vee,1,1,1,8,https://charts-static.billboard.com/img/1961/08/bobby-vee-swb-180x180.jpg
1961-09-27,Take Good Care Of My Baby,Bobby Vee,1,1,1,9,https://charts-static.billboard.com/img/1961/08/bobby-vee-swb-180x180.jpg
1961-10-04,Hit The Road Jack,Ray Charles And His Orchestra With The Raelettes,1,4,1,5,https://charts-static.billboard.com/img/1961/09/ray-charles-lfr-hit-the-road-jack-6an-180x180.jpg
1961-10-11,Hit The Road Jack,Ray Charles And His Orchestra With The Raelettes,1,1,1,6,https://charts-static.billboard.com/img/1961/09/ray-charles-lfr-hit-the-road-jack-6an-180x180.jpg
1961-10-18,Runaround Sue,Dion,1,2,1,5,https://charts-static.billboard.com/img/1961/09/dion-7zf-runaround-sue-6fl-180x180.jpg
1961-10-25,Runaround Sue,Dion,1,1,1,6,https://charts-static.billboard.com/img/1961/09/dion-7zf-runaround-sue-6fl-180x180.jpg
1961-11-01,Big Bad John,Jimmy Dean,1,3,1,6,https://charts-static.billboard.com/img/1961/10/jimmy-dean-h33-180x180.jpg
1961-11-08,Big Bad John,Jimmy Dean,1,1,1,7,https://charts-static.billboard.com/img/1961/10/jimmy-dean-h33-180x180.jpg
1961-11-15,Big Bad John,Jimmy Dean,1,1,1,8,https://charts-static.billboard.com/img/1961/10/jimmy-dean-h33-180x180.jpg
1961-11-22,Big Bad John,Jimmy Dean,1,1,1,9,https://charts-static.billboard.com/img/1961/10/jimmy-dean-h33-180x180.jpg
1961-11-29,Big Bad John,Jimmy Dean,1,1,1,10,https://charts-static.billboard.com/img/1961/10/jimmy-dean-h33-180x180.jpg
1961-12-06,Please Mr. Postman,The Marvelettes,1,2,1,15,https://charts-static.billboard.com/img/1840/12/the-marvelettes-02t-180x180.jpg
1961-12-13,The Lion Sleeps Tonight,The Tokens,1,6,1,6,#
1961-12-20,The Lion Sleeps Tonight,The Tokens,1,1,1,7,#
1961-12-27,The Lion Sleeps Tonight,The Tokens,1,1,1,8,#
1962-01-03,The Lion Sleeps Tonight,The Tokens,1,1,1,8,#
1962-01-10,The Twist,Chubby Checker,1,2,1,27,https://charts-static.billboard.com/img/1960/08/chubby-checker-oxy-180x180.jpg
1962-01-17,The Twist,Chubby Checker,1,1,1,28,https://charts-static.billboard.com/img/1960/08/chubby-checker-oxy-180x180.jpg
1962-01-24,Peppermint Twist - Part I,Joey Dee & the Starliters,1,2,1,10,#
1962-01-31,Peppermint Twist - Part I,Joey Dee & the Starliters,1,1,1,11,#
1962-02-07,Peppermint Twist - Part I,Joey Dee & the Starliters,1,1,1,12,#
1962-02-14,Duke Of Earl,Gene Chandler,1,2,1,6,https://charts-static.billboard.com/img/1962/01/gene-chandler-yln-180x180.jpg
1962-02-21,Duke Of Earl,Gene Chandler,1,1,1,7,https://charts-static.billboard.com/img/1962/01/gene-chandler-yln-180x180.jpg
1962-02-28,Duke Of Earl,Gene Chandler,1,1,1,8,https://charts-static.billboard.com/img/1962/01/gene-chandler-yln-180x180.jpg
1962-03-07,Hey! Baby,Bruce Channel,1,2,1,7,#
1962-03-14,Hey! Baby,Bruce Channel,1,1,1,8,#
1962-03-21,Hey! Baby,Bruce Channel,1,1,1,9,#
1962-03-28,Don't Break The Heart That Loves You,Connie Francis,1,2,1,8,https://charts-static.billboard.com/img/1962/02/connie-francis-411-180x180.jpg
1962-04-04,Johnny Angel,Shelley Fabares,1,3,1,6,https://charts-static.billboard.com/img/1962/03/shelley-fabares-c72-180x180.jpg
1962-04-11,Johnny Angel,Shelley Fabares,1,1,1,7,https://charts-static.billboard.com/img/1962/03/shelley-fabares-c72-180x180.jpg
1962-04-18,Good Luck Charm,Elvis Presley With The Jordanaires,1,2,1,6,https://charts-static.billboard.com/img/1962/03/elvis-presley-0r3-good-luck-charm-tks-180x180.jpg
1962-04-25,Good Luck Charm,Elvis Presley With The Jordanaires,1,1,1,7,https://charts-static.billboard.com/img/1962/03/elvis-presley-0r3-good-luck-charm-tks-180x180.jpg
1962-05-02,Soldier Boy,The Shirelles,1,4,1,7,https://charts-static.billboard.com/img/1962/03/the-shirelles-mpw-155x155.jpg
1962-05-09,Soldier Boy,The Shirelles,1,1,1,8,https://charts-static.billboard.com/img/1962/03/the-shirelles-mpw-155x155.jpg
1962-05-16,Soldier Boy,The Shirelles,1,1,1,9,https://charts-static.billboard.com/img/1962/03/the-shirelles-mpw-155x155.jpg
1962-05-23,Stranger On The Shore,Mr. Acker Bilk,1,2,1,11,https://charts-static.billboard.com/img/1962/03/mr-acker-bilk-000-strangerontheshore-yh0-180x180.jpg
1962-05-30,I Can't Stop Loving You,Ray Charles,1,4,1,5,https://charts-static.billboard.com/img/1962/05/ray-charles-nfd-i-cant-stop-loving-you-uq7-180x180.jpg
1962-06-06,I Can't Stop Loving You,Ray Charles,1,1,1,6,https://charts-static.billboard.com/img/1962/05/ray-charles-nfd-i-cant-stop-loving-you-uq7-180x180.jpg
1962-06-13,I Can't Stop Loving You,Ray Charles,1,1,1,7,https://charts-static.billboard.com/img/1962/05/ray-charles-nfd-i-cant-stop-loving-you-uq7-180x180.jpg
