Song,Artist,Track ID
Maggie May/Reason To Believe,Rod Stewart,7hBTWJwdCkZt7IjUsENqmv
Gypsys; Tramps & Thieves,Cher,6fsSZbNL7XP9gf1kJ2l155
Theme From Shaft,Isaac Hayes,7KMILVTQdVS4zQ8ilTcpRO
Family Affair,Sly & The Family Stone,4f3u4Oy0JqJRIhMmTqRcxj
Brand New Key,Melanie,7da5B9d2oVV16YSzXVxmrR
American Pie (Parts I & II),Don McLean,1fDsrQ23eTAVFElUMaf38X
Let's Stay Together,Al Green,63xdwScd1Ai1GigAwQxE8y
Without You,Nilsson,6MrILERJLA3Jcq0E9poZsp
Heart Of Gold,Neil Young,26QKxvjlCo2fSd3T4c8Zpb
A Horse With No Name,America,54eZmuggBFJbV7k248bTTt
The First Time Ever I Saw Your Face,Roberta Flack,0SxFyA4FqmEQqZVuAlg8lf
Oh Girl,The Chi-lites,0cFlXjTxFdMGGPfLVpt3Wv
I'll Take You There,The Staple Singers,5YLnfy7R2kueN0BRPkjiEG
The Candy Man,Sammy Davis| Jr. with The Mike Curb Congregation,5X3XrHlCFVGqNKpGp85xVC
Song Sung Blue,Neil Diamond,57KfogSy3eKuk5JHLKwCJv
Lean On Me,Bill Withers,3M8FzayQWtkvOhqMn2V4T2
Alone Again (Naturally),Gilbert O'Sullivan,54pvEYFocTlvIAQOfXSjqV
Brandy (You're A Fine Girl),Looking Glass,2BY7ALEWdloFHgQZG6VMLA
Black & White,Three Dog Night,4XcUADpOth9Wroq5EVMFJq
Baby Don't Get Hooked On Me,Mac Davis,4z51Gf7Ppt9Lmu5zmnUIz9
Ben,Michael Jackson,0ZFqB9g2FujbmMSrjqsL3j
My Ding-A-Ling,Chuck Berry,2L8mIvM1OwkJyGb3WwDFT3
I Can See Clearly Now,Johnny Nash,0DcrhZ12WcCqruCs8ibXSf
Papa Was A Rollin' Stone,The Temptations,7MiLmLbwNoyf47xQ4TCVYp
I Am Woman,Helen Reddy,3l2hbXdvmaH3tUd3qWLKgm
Me And Mrs. Jones,Billy Paul,6Ro2z4RtAUew9Kz2HZWZUi
You're So Vain,Carly Simon,2DnJjbjNTV9Nd5NOa1KGba
Superstition,Stevie Wonder,1h2xVEoJORqrg71HocgqXd
Crocodile Rock,Elton John,6WCeFNVAXUtNczb7lqLiZU
Killing Me Softly With His Song,Roberta Flack,3gsCAGsWr6pUm1Vy7CPPob
Love Train,The O'Jays,28285KFbyCq8sJofn58qlD
The Night The Lights Went Out In Georgia,Vicki Lawrence,4ZObql2ASJn1bvasBzjlyI
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,3NXES1knSS2eUCgkr77QU6
You Are The Sunshine Of My Life,Stevie Wonder,0n2pjCIMKwHSXoYfEbYMfX
Frankenstein,Edgar Winter Group,2l0Z9fY1E8Bep8opmhmDhq
My Love,Paul McCartney And Wings,0Oj0TT23GBH2XuHAaSsloH
Give Me Love - (Give Me Peace On Earth),George Harrison,1ZiN3wseympSLDIFkaWHHC
Will It Go Round In Circles,Billy Preston,0iifjjuozo6r5fh2GWI6Pq
Bad; Bad Leroy Brown,Jim Croce,2r3XNMon9K7bl2KTtHsaQO
The Morning After,Maureen McGovern,62QRbVm7DqR3eoqgT7pEfs
Touch Me In The Morning,Diana Ross,4sIkDCqNjTubfb5UVs8lEA
Brother Louie,Stories,5kbSslE6zBMZnULSrE4SdZ
Let's Get It On,Marvin Gaye,627teoJpK7qZOxRRY8TNnv
Delta Dawn,Helen Reddy,53RGKUb4zvhHaDCmjgUrIP
We're An American Band,Grand Funk,3XcjIvaZVUFAIdIYZqY9bd
Half-Breed,Cher,23jaOlnV7vHmly51DPBr35
Angie,The Rolling Stones,1GcVa4jFySlun4jLSuMhiq
Midnight Train To Georgia,Gladys Knight And The Pips,7MF7QAodbGzNYav5ZfIhAY
Keep On Truckin' (Part 1),Eddie Kendricks,5CiOCxc3argOhj5qKNZGN0
Photograph,Ringo Starr,1hwN2eAwsXgktvw9Qe8TrP
Top Of The World,Carpenters,1Ehdm1PDlKrdfyBsjwEvd1
The Most Beautiful Girl,Charlie Rich,542C7PqR1oEfl63hlhQO4V
Time In A Bottle,Jim Croce,7uWFUpGuEfmxYeymkV95jn
The Joker,The Steve Miller Band,1bp2IO61zbQrbWNmKKxg3f
Show And Tell,Al Wilson,2vhW1OmaZDYi63Da9d8R5o
You're Sixteen,Ringo Starr,4MAxWahEbzU8m4bD6mSZg9
The Way We Were,Barbra Streisand,1vZTgn4JXWMahR8r99ug5H
Love's Theme,Love Unlimited Orchestra,5csdrJ0JtFn0qvwlvSh2EI
Seasons In The Sun,Terry Jacks,7pGMRy91RcQT9oHdPgYz3A
Dark Lady,Cher,0xL3tjPSUJncbnIOn1uPhZ
Sunshine On My Shoulders,John Denver,3m8lTUL5GxGUNSaycI77ND
Hooked On A Feeling,Blue Swede,2Nz6aF1umHh5Et6I5H581L
Bennie And The Jets,Elton John,5Wj1rJnCLpMHdLaxsFtJLs
TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees,7kllQQPam6HumbUCIPSvHJ
