,track_name,track_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
637,Didn't We Almost Have It All,19wadMw1A8XejDV4p5wMt1,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,0.26512653916017026,0.15422056385409322,10,-10.151,1,-0.8828642904965394,0.008247842815811257,0.39224100283726204,-0.6524237474684136,-0.15498225285056744,130.992,4,5:05,0.07210580048041959,0.9913308194722177,0.22140012426952893,0.3884232155357812
638,Here I Go Again,1qOU8KzFifXE9YrgjVwYvc,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,-0.2493567739294673,0.7448263378118603,7,-6.763,1,-0.8246012688220825,-0.9662834450837302,0.17981549809288322,-0.6179594296982464,-0.3631097689563597,89.939,4,4:35,-0.12554452217418066,0.9578555527627974,0.42739162968671796,0.4150495817992159
639,Lost In Emotion,3zsyZzMZiKlFiiW1VnerX9,Lisa Lisa And Cult Jam,1vgjN6nIPNKiiQGE9PtzTT,0.6878360426982042,0.6351861552928784,0,-9.47,1,-0.7867422454975136,-0.9322444949960272,0.6179040559030531,-0.7923651194386302,0.9660028253140724,119.762,4,5:07,-0.596732277660699,1.0,0.4814234667982018,0.35974829549324605
640,Bad,5lWFrW5T3JtxVCLDb7etPu,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,0.7009824894335053,0.8489591613626724,8,-3.786,1,-0.8288280211269861,-0.9867256747406069,0.9277318632612559,-0.8606816599169547,-0.03101473577225966,114.091,4,4:07,0.8565511232238698,1.0,-1.0,-0.47874418374660277
641,I Think We're Alone Now,4uvjOKsp7mSjrDhWdkLPBY,Tiffany,4C3uGP8vRDzxrhJxZiOjTe,0.6430261895535929,0.5796368743307623,7,-12.126,1,-0.7825557403164597,-0.9282659560541381,0.5117327657439883,-0.9928358616103702,0.9331087850961388,130.519,4,3:48,0.9358127405802932,0.906157905225015,0.707193012405025,0.5597800786800942
642,Mony Mony,2LbkpJUH052AvFcNIgjHTO,Billy Idol,7lzordPuZEXxwt9aoVZYmG,0.6262544814774331,0.6134287394120228,10,-6.293,0,-0.7821373089662562,-0.973052743789726,-1.0,-0.4512573940996465,0.1534535121486138,135.012,4,5:01,0.7023986771865878,1.0,-1.0,-0.27870959507956794
643,(I've Had) The Time Of My Life,6W7ztLBiRzBN46ZaPAcQ0F,Bill Medley & Jennifer Warnes,1XE70WwxhnrXNAJYQQ9ygx,0.5495705913625681,0.4864015438627045,6,-12.723,0,-0.8250237612462719,-0.8848572065719698,0.5925939472790298,-0.8638236773184873,0.15541720955258564,108.506,4,4:50,0.640970685972758,1.0,-0.39097791638009405,0.23083259452574012
644,Heaven Is A Place On Earth,3EvpaRZkKWxsgDIO2zMH7g,Belinda Carlisle,7xkAwz0bQTGDSbkofyQt3U,0.3862570544538184,0.8690407087862473,4,-5.804,1,-0.8339054934367756,-0.9507878511308614,-0.1754853174159291,-0.7007969038437205,0.5341212161404643,122.866,4,3:53,0.8398241773546165,0.7484135717555971,-0.6601499971153753,-0.14908139046928948
645,Faith,0HEmnAUT8PHznIAAmVXqFJ,George Michael,19ra5tSw0tWufvUp8GotLo,0.8605215898116536,0.13450309802645588,11,-11.994,1,-0.5135240512201644,-0.972908552129236,0.11219832305244082,-0.8615382522452544,0.38376896253214277,95.846,4,3:13,0.066129843739275,0.9898834203539417,0.9076479078823336,0.5513654034781197
646,So Emotional,4l2Edgdj4vla02GCh7YyAv,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,0.551296664697108,0.6929727172736746,11,-10.012,0,-0.7875800251130332,-0.3021048782712187,0.13660852480016428,-0.5041234643494455,0.7291652671438649,119.081,4,4:36,0.7452635822705,1.0,0.10377020694344963,0.18909709910070838
